"sku","attribute_set","product_type","product_websites","name","description"
102980,"Wohnraumschalter_Meldevorrichtungen","simple","base","Berker 17509 Bewegungsmelder Aufputz grau","Funk-Wächterleistungsteil Ap Funkbus polarweiß - mit LED-Erfassungs- und Betriebsartenanzeige - mit 3 Betriebsarten: Wächterbetrieb/2 Std. Ein/2 Std. Aus - Betriebsartwechsel durch Taster Öffner in Zuleitung oder Funk-Wand- oder -Handsender - mit 2 Leitungseinführungen unten - mit Befestigungsmaterial - mit Schraubklemmen - 230 V~, 50/60 Hz - Glüh- und HV-Halogenlampen 2300 W - elektronische Trafos 1500 W - konventionelle Trafos 1000 VA - Leuchtstofflampen in Duo-Schaltung 2300 VA - Leuchtstofflampen unkompensiert 1200 VA - Leuchtstofflampen parallelkompensiert 920 VA - Ansprechhelligkeit ca. 3 ... 80 Lux - Nachlaufzeit einstellbar ca. 10 Sek. ... 15 Min. - Schaltkanäle 1 - Funk-Empfangsfrequenz 433,42 MHz - einlernbare Funksender 30 - Betriebstemperatur -25 ... +55 °C - Abmessungen (B x H x T) 110 x 94 x 38 mm  Neutralleiter erforderlich! Schaltet bei Empfang eines erlernten Funk-Telegramms von z.B. Funk-Wächtern bei unterschrittener Ansprechhelligkeit und Personenbewegung Ein."
103003,"Wohnraumschalter_Bedienelemente","simple","base","Berker 841852521 Steckdose 1f braun","Steckdose SCHUKO 45° Integro Einsätze braun, matt 16 A, 250 V~ - für diagonales Einstecken - mit Schraubklemmen Verbindungsklemmen nach VDE 0620-1 Bauart DIN 49440"
103004,"Wohnraumschalter_Bedienelemente","simple","base","Berker 841852522 Steckdose 1f polarweiß","Steckdose SCHUKO 45° Integro Einsätze polarweiß, matt 16 A, 250 V~ - für diagonales Einstecken - mit Schraubklemmen Verbindungsklemmen nach VDE 0620-1 Bauart DIN 49440"
103005,"Wohnraumschalter_Bedienelemente","simple","base","Berker 841852525 Steckdose 1f anthrazit","Steckdose SCHUKO 45° Integro Einsätze anthrazit, matt 16 A, 250 V~ - für diagonales Einstecken - mit Schraubklemmen Verbindungsklemmen nach VDE 0620-1 Bauart DIN 49440"
103006,"Wohnraumschalter_Bedienelemente","simple","base","Berker 841852526 Steckdose 1f grau","Steckdose SCHUKO 45° Integro Einsätze grau, matt 16 A, 250 V~ - für diagonales Einstecken - mit Schraubklemmen Verbindungsklemmen nach VDE 0620-1 Bauart DIN 49440"
103007,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115101 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach hohe Ausführung Mobil R Twin braun, glänzend - zur Aufbau-Montage von Apparaten - für die Montage auf entflammbarem Untergrund geeignet - mit Leitungseinführung - Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm  Passende Rohreinführungen,"
103008,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115105 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach hohe Ausführung Mobil R Twin schwarz, glänzend - zur Aufbau-Montage von Apparaten - für die Montage auf entflammbarem Untergrund geeignet - mit Leitungseinführung - Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm  Passende Rohreinführunge"
103009,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115109 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach hohe Ausführung Mobil R Twin polarweiß, glänzend - zur Aufbau-Montage von Apparaten - für die Montage auf entflammbarem Untergrund geeignet - mit Leitungseinführung - Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm  Passende Rohreinführun"
103010,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512501 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103011,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512505 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103012,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512507 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103013,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512509 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103014,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512511 Gehäuse AP 1f Kunststoff","Mit Zugentlastung, für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103015,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512515 Gehäuse AP 1f Kunststoff","Mit Zugentlastung, für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103016,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512517 Gehäuse AP 1f Kunststoff","Mit Zugentlastung, für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103017,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911512519 Gehäuse AP 1f Kunststoff","Mit Zugentlastung, für die Montage auf entflammbarem Untergrund geeignet, Abmessungen (B x H x T) 59,5 x 59,5 x 41 mm"
103018,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115221 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin braun, glänzend - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - ohne Zugentlastung - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103019,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115225 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin schwarz, glänzend - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - ohne Zugentlastung - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103020,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911522525 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, ohne Zugentlastung, Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103021,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911522529 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, ohne Zugentlastung, Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103022,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911522555 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, mit Zugentlastung, Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103023,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911522559 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, mit Zugentlastung, Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103024,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911522565 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, mit 2 Zugentlastungen, Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103025,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 911522569 Gehäuse AP 1f Kunststoff","Für die Montage auf entflammbarem Untergrund geeignet, mit 2 Zugentlastungen, Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103026,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115229 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin polarweiß, glänzend - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - ohne Zugentlastung - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103027,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115255 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin schwarz, glänzend - mit Zugentlastung - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103028,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115259 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin polarweiß, glänzend - mit Zugentlastung - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103029,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115265 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin schwarz, glänzend - mit 2 Zugentlastungen - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103030,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 9115269 Gehäuse AP 1f Kunststoff","Aufbau-Gehäuse 1fach flache Ausführung Mobil R Twin polarweiß, glänzend - mit 2 Zugentlastungen - zur Aufbau-Montage von Schaltern und Tastern - für die Montage auf entflammbarem Untergrund geeignet - Abmessungen (B x H x T) 59,5 x 59,5 x 16 mm"
103031,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918032505 Rahmen 1f anthrazit","Rahmen 1fach mit Beschriftungsfeld Integro Flow anthrazit, matt Beschriftungsfeldhöhe für P-touch Band 6 mm ausgelegt."
103032,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918032507 Rahmen 1f grau","Rahmen 1fach mit Beschriftungsfeld Integro Flow grau, glänzend Beschriftungsfeldhöhe für P-touch Band 6 mm ausgelegt."
103033,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918032509 Rahmen 1f polarweiß","Rahmen 1fach mit Beschriftungsfeld Integro Flow polarweiß, glänzend Beschriftungsfeldhöhe für P-touch Band 6 mm ausgelegt."
103034,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918192507 Rahmen 3f grau","Für senkrechte und waagerechte Montage."
103035,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918192511 Rahmen 3f braun","Für senkrechte und waagerechte Montage."
103036,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918192515 Rahmen 3f anthrazit","Für senkrechte und waagerechte Montage."
103037,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918192518 Rahmen 3f chrom","Rahmen 3fach Berker Integro chrom, glänzend - für senkrechte und waagerechte Montage"
103038,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918192519 Rahmen 3f polarweiß","Für senkrechte und waagerechte Montage."
103039,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918192568 Rahmen 3f chrom","Für senkrechte und waagerechte Montage."
103047,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918262507 Rahmen 2f grau","Für senkrechte und waagerechte Montage."
103048,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918262511 Rahmen 2f braun","Für senkrechte und waagerechte Montage."
103049,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918262515 Rahmen 2f anthrazit","Für senkrechte und waagerechte Montage."
103050,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918262518 Rahmen 2f chrom","Rahmen 2fach Berker B.Mobil chrom, hochglänzend - für senkrechte und waagerechte Montage"
103051,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918262519 Rahmen 2f polarweiß","Für senkrechte und waagerechte Montage."
103052,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918262528 Rahmen 2f chrom","Rahmen 2fach Berker B.Mobil chrom, matt - für senkrechte und waagerechte Montage"
103053,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272501 Rahmen 1f braun","Für die Abdeckung von Steckdosen."
103054,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272505 Rahmen 1f anthrazit","Für die Abdeckung von Steckdosen."
103055,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272507 Rahmen 1f grau","Für die Abdeckung von Steckdosen."
103056,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272509 Rahmen 1f polarweiß","Für die Abdeckung von Steckdosen."
103057,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272518 Rahmen 1f chrom","Rahmen 1fach Berker B.Mobil chrom, hochglänzend"
103058,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272528 Rahmen 1f chrom","Rahmen 1fach Berker B.Mobil chrom, matt"
103059,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272591 Rahmen 1f braun","Ohne Dichtung, für wassergeschützte Abdeckung von Wippschaltern/-tastern, Nicht für Schalter/Taster mit geteilter Wippe, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103060,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272595 Rahmen 1f anthrazit","Ohne Dichtung, für wassergeschützte Abdeckung von Wippschaltern/-tastern, Nicht für Schalter/Taster mit geteilter Wippe, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103061,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272597 Rahmen 1f grau","Ohne Dichtung, für wassergeschützte Abdeckung von Wippschaltern/-tastern, Nicht für Schalter/Taster mit geteilter Wippe, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103062,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918272599 Rahmen 1f polarweiß","Ohne Dichtung, für wassergeschützte Abdeckung von Wippschaltern/-tastern, Nicht für Schalter/Taster mit geteilter Wippe, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103063,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282501 Rahmen 1f braun","Rahmen 1fach mit Klappdeckel Integro Flow braun, matt - für die Abdeckung von Steckdosen"
103064,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282505 Rahmen 1f anthrazit","Rahmen 1fach mit Klappdeckel Integro Flow anthrazit, matt - für die Abdeckung von Steckdosen"
103065,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282507 Rahmen 1f grau","Rahmen 1fach mit Klappdeckel Integro Flow grau, glänzend - für die Abdeckung von Steckdosen"
103066,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282509 Rahmen 1f polarweiß","Rahmen 1fach mit Klappdeckel Berker Integro Flow/Pure polarweiß, glänzend - für die Abdeckung von Steckdosen"
103067,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282518 Rahmen 1f chrom","Rahmen 1fach mit Klappdeckel Berker B.Mobil chrom, hochglänzend - für die Abdeckung von Steckdosen"
103068,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282528 Rahmen 1f chrom","Rahmen 1fach mit Klappdeckel Berker B.Mobil chrom, matt - für die Abdeckung von Steckdosen"
103069,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282586 Rahmen 1f rot","Rahmen mit Klappdeckel und Aufdruck IP44 Berker B.Mobil rot, hochglänzend - ohne Dichtung - für die Abdeckung von Steckdosen - Schutzart IP44 nur gewährleistet bei Installation mit Dichtung 09 1853 - Die Schutzart IP44 ist bei Steckdosen mit geöffneten"
103070,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282590 Rahmen 1f grün","Rahmen mit Klappdeckel und Aufdruck IP44 Berker B.Mobil grün, hochglänzend - ohne Dichtung - für die Abdeckung von Steckdosen - Schutzart IP44 nur gewährleistet bei Installation mit Dichtung 09 1853 - Die Schutzart IP44 ist bei Steckdosen mit geöffneten"
103071,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282591 Rahmen 1f braun","Für die wassergeschützte Abdeckung von Steckdosen, ohne Dichtung, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103072,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282594 Rahmen 1f orange","Rahmen mit Klappdeckel und Aufdruck IP44 Berker B.Mobil orange, hochglänzend - ohne Dichtung - für die Abdeckung von Steckdosen - Schutzart IP44 nur gewährleistet bei Installation mit Dichtung 09 1853 - Die Schutzart IP44 ist bei Steckdosen mit geöffnet"
103073,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282595 Rahmen 1f anthrazit","Für die wassergeschützte Abdeckung von Steckdosen, ohne Dichtung, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103074,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282597 Rahmen 1f grau","Für die wassergeschützte Abdeckung von Steckdosen, ohne Dichtung, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103075,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 918282599 Rahmen 1f polarweiß","Für die wassergeschützte Abdeckung von Steckdosen, ohne Dichtung, Schutzart IP44 nur gewährleistet bei Installation mit Dichtung"
103076,"Werkzeug_Zubehör","simple","base","Berker 91844 Bohrschablone Geeignet für Einbaudose","Montageschablone, Karton Integro Einsätze grau Zur passgenauen Bohrung für 1fach Apparate sowie 2- und 3fach Kombinationen."
103101,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 919882502 Rahmen 1f polarweiß","Rahmen 1fach mit Klappdeckel und Beschriftungsfeld Integro Flow polarweiß, glänzend - für die Abdeckung von Steckdosen - mit 2 Beschriftungsfeldeinlagen, neutral und gelocht für Steckdose mit Kontroll-LED Beschriftungsfeldhöhe für P-touch Band 9 mm ausgelegt."
103102,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 919882505 Rahmen 1f anthrazit","Rahmen 1fach mit Klappdeckel und Beschriftungsfeld Integro Flow anthrazit, matt - für die Abdeckung von Steckdosen - mit 2 Beschriftungsfeldeinlagen, neutral und gelocht für Steckdose mit Kontroll-LED Beschriftungsfeldhöhe für P-touch Band 9 mm ausgelegt."
103103,"Wohnraumschalter_Rahmen, Abdeckungen & Gehäuse","simple","base","Berker 919882506 Rahmen 1f grau","Rahmen 1fach mit Klappdeckel und Beschriftungsfeld Integro Flow grau, glänzend - für die Abdeckung von Steckdosen - mit 2 Beschriftungsfeldeinlagen, neutral und gelocht für Steckdose mit Kontroll-LED Beschriftungsfeldhöhe für P-touch Band 9 mm ausgelegt."
